"recordID","QCLUSTER","QNUMBER","QLINE","QHDIVISION","QHDISTRICT","QHTYPE","QHQTYPE","QRTYPE","QINTNUM","QRESULT","QWEIGHT_UF","UF104","UF106","UF107","UF108","UF201","UF206","UF207","UF315A","UF315B","UF315C","UF315D","UF702C","UF302","UF303","Domain","Strata","QHWLTHF","QHWLTHI"
16,1002,15,4,2,12,"Urban","Type A","Unarried Female",76,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","No","Yes","Yes","Yes","Somtimes",14,"Yes","East",201,-1.8311632,1
17,1002,68,3,2,12,"Urban","Type A","Unarried Female",76,"Completed",3.488727228,"Yes, school/college",9,"Yes, school/college"," ","Yes , basic mobile phone `","Not at all","No","No","Yes","No","No","Always",15,"No","East",201,0.85387193,4
18,1002,70,8,2,12,"Urban","Type A","Unarried Female",24,"Completed",3.488727228,"Yes, school/college",2,"No","H","Smart phone","Not at all","No","No","Yes","No","Yes","Somtimes",12,"Yes","East",201,0.26125971,4
19,1002,98,3,2,12,"Urban","Type A","Unarried Female",24,"Completed",3.488727228,"Yes, school/college",9,"Yes, school/college"," ","No","Not at all","No","Yes","Yes","No","No","Always",15,"Yes","East",201,-0.33990955,3
20,1002,121,6,2,12,"Urban","Type A","Unarried Female",76,"Completed",3.488727228,"Yes, school/college",7,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",13,"No","East",201,-0.92299416,2
22,1002,161,2,2,12,"Urban","Type A","Unarried Female",24,"Completed",3.488727228,"Yes, school/college",7,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",10,"No","East",201,2.2140591,5
23,1002,173,3,2,12,"Urban","Type A","Unarried Female",76,"Completed",3.488727228,"Yes, school/college",8,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",13,"No","East",201,-0.20584246,3
34,1004,6,5,2,12,"Other urban","Type A","Unarried Female",51,"Completed",3.488727228,"Yes, school/college",10,"Yes, school/college"," ","No","Not at all","No","No","Yes","No","No","Always",13,"No","East",201,1.9904469,5
36,1004,7,4,2,12,"Other urban","Type A","Unarried Female",51,"Completed",3.488727228,"Yes, madrasa",6,"No","X","No","Not at all","No","No","No","No","No","Always",13,"No","East",201,2.6753583,5
37,1004,9,7,2,12,"Other urban","Type A","Unarried Female",51,"Completed",3.488727228,"Yes, madrasa",5,"No","H","No","Not at all","No","No","No","No","No","Always",14,"No","East",201,-0.95918925,2
40,1004,25,3,2,12,"Other urban","Type A","Unarried Female",66,"Completed",3.488727228,"Yes, school/college",12,"Yes, school/college"," ","Yes , basic mobile phone `","Not at all","No","Yes","Yes","Yes","No","Always",12,"No","East",201,0.43155843,4
